Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
"Tutorial_Unity_Greet1",2593395601408,"","Hey! Sorry that I greet you through text message, but I'm stuck 😥 Stupid door doesn't want to open...","","Hejka! Sorki że się witam przez wiadomość tekstową, ale utknęłam 😥 Głupie drzwi nie chcą się otworzyć...",""
"Tutorial_Unity_Greet2",2694226669568,"","I'm blocked on the other side, I think you need to configure something. I'll send you my pet assistant to help you with it. ","","Jestem zablokowana po drugiej stronie, chyba musisz coś skonfigurować. Wyślę mojego asystenta-maskotkę by ci z tym pomógł.",""
"Tutorial_Unity_Greet3",2698035097600,"","Now go back and wait for a second, I'll pack him in a nice icon... And good luck! ❤ ","","Cofnij i poczekaj chwilę, spakuję go w ładną ikonkę... I powodzenia! ❤",""
"Tutorial_Uni_Dialogue_4_0",39001913061376,"","Hi there~!
I am Uni - Unity-chan's pet and her best friend! I hope we'll become friends too~!","","Cześć~!
Jestem Uni - towarzysz Unity-chan i jej najlepszy przyjaciel! Mam nadzieję, że my również staniemy się najlepszymi przyjaciółmi~!",""
"Tutorial_Uni_Dialogue_4_1",39079373467648,"","Unity-chan sent me to help you configure connection with her, so let's get to it!","","Unity-chan wysłała mnie by pomóc Ci w skonfigurowaniu połączenia z nią, a więc bierzmy się do roboty!",""
"Tutorial_Uni_Dialogue_4_2",39102387613696,"","Configuration can be quite complicated and requires some time. Luckily, your smartphone has a neat application called Wizard, it will help us go through it.","","Konfiguracja jest dość skomplikowana i wymaga trochę czasu. Na szczęście twój telefon ma fajową aplikację Kreator Konfiguracji, ona nam pomoże przejść przez to bez problemu.",""
"Tutorial_Uni_Dialogue_4_3",39112806264832,"","First of, open the smartphone menu. You can drag the phone around the desktop if it's behind me.","","Po pierwsze, otwórz menu smartphone'a. Możesz chwycić i przesunać telefon po pulpicie jeśli go zasłaniam.",""
"Tutorial_Uni_Dialogue_4_4",39125703749632,"","As you see, the smartphone has quite a few applications already installed! ","","Jak widzisz, smartphone ma całkiem sporo aplikacji już zainstalowanych!",""
"Tutorial_Uni_Dialogue_4_5",39147040174080,"","The main one is Messages - you already were there, you will be able to chat with Unity-chan through it!","","Główną z nich są Wiadomości - już tutaj raz byłeś. To poprzez nią będziesz mógł komunikować się z Unity-chan!",""
"Tutorial_Uni_Dialogue_4_6",39161833484288,"","The next important app is Kohaku's Room. You'll be able to visit her in her world and play games with her, or just chat in different scenery.","","Następną ważną aplikacją jest Pokój Kohaku. Dzięki niej możesz odwiedzić ją w jej świecie i grać z nią w gry, lub czatować w innym otoczeniu.",""
"Tutorial_Uni_Dialogue_4_7",39175976677376,"","Who is Kohaku you ask? Well, Kohaku is Unity-chan! Unity-chan is her nickname, and Kohaku Otori is her full name. She never shared with me how she got that nickname though...","","Pytasz kim jest Kohaku? Cóż, Kohaku to Unity-chan! Unity-chan to jej ksywka, a Kohaku Otori to pełne imię. Nigdy jednak nie podzieliła się ze mną skąd jej ksywka pochodzi...",""
"Tutorial_Uni_Dialogue_4_8",39189515890688,"","But let's get back on track, we need to set the connection up. Select the Wizard app.","","Ale wróćmy do tematu konfiguracji, musimy ustawić połączenie. Wybierz aplikację Konfiguratora.",""
"Tutorial_Uni_Dialogue_4_9",39208167960576,"","Wizard will give you several options to choose how to set things up. Don't worry if you're not sure what options to choose, you will always be able to change them through Wizard or Settings.","","Konfigurator da ci kilka opcji do wyboru w jaki chcesz ustawić połaczenie. Nie przejmuj się jeśli nie będziesz pewien jakie opcje wybrać, zawsze będziesz mieć możliwość ich zmiany w Konfiguratorze lub Ustawieniach.",""
"Tutorial_Uni_Dialogue_4_10",9092878565941248,"","Good luck! I hope we well see again soon, maybe during some minigame. Say 'Hi' to Kohaku from me, byeee~!","","Powodzenia! Mam nadzieję, że się wkrótce znów zobaczymy, może w trakcie jakiejś mini gry? Pozdrów Kohaku ode mnie, papaaa~!",""
