Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
"VirusOffense/Dialogues/Tutorial/Greet0",30606132801536,"","Hi there~!
Haha, I managed to get here before your game loaded!","","Hejka~!
Haha, wyprzedziłam cię zanim zdołała załadować ci się gra!",""
"VirusOffense/Dialogues/Tutorial/Greet1",30642841350144,"","We are currently in a system mainframe. It has been infected by viruses, and our job will be to wipe them out!","","Jesteśmy w systemie komputerowym. Został on zainfekowany przez wirusy, i teraz naszym zadaniem będzie je stąd wymieść!",""
"VirusOffense/Dialogues/Tutorial/Greet2",30645760585728,"","But before we start shooting, you need to learn some basics. You already know how to move, let's go through that door.","","Ale zanim zaczniemy strzelaninę, musisz nauczyć się podstaw. Już wiesz jak się poruszać, chodźmy do tych drzwi",""
"VirusOffense/Dialogues/Tutorial/FirewallWarning0",30746587459584,"","Careful! There is a firewall in front of us. While it's not hostile, it will treat you as a threat if you get close to it.","","Uwaga! Przed nami jest zapora sieciowa! Sama nie jest wroga, ale wciąż jest zagrożeniem jeśli przez nią przejdziemy.",""
"VirusOffense/Dialogues/Tutorial/FirewallWarning1",30818536550400,"","But there is a way to avoid it! It takes time until it detects you as a enemy, so if you dash through it it won't hurt you.","","Ale jest sposób na uniknięcie ich! Nie będą w stanie nas zranić jeśli przez nie przemkniemy!",""
"VirusOffense/Dialogues/Tutorial/FirewallWarning2",30830645506048,"","To dash, move in any direction and press [space]","","By wykonać unik, poruszaj się w dowolnym kierunku i kliknij [spacja]",""
"VirusOffense/Dialogues/Tutorial/FirewallHurt0",30947888885760,"","Ouch, that must have hurt! Are you okay?","","Auć, to musiało boleć. Trzymasz się?",""
"VirusOffense/Dialogues/Tutorial/FirewallHurt1",31022920790016,"","Remember, you need to dash through the firewall. To do so, click [space] while moving in any direction.
Let's try it again~!","","Pamietaj, musisz wykonać unik przez zaporę sieciową. By to zrobić, naciśnij [spacja] podczas poruszania się w dowolnym kierunku.
Spróbujmy jeszcze raz~!",""
"VirusOffense/Dialogues/Tutorial/Shooting0",31056580079616,"","Defence turrets! Take cover!","","Wieżyczki obronne! Padnij!",""
"VirusOffense/Dialogues/Tutorial/Shooting1",31058656260096,"","Huh, they're not attacking...?","","Huh, nie atakują nas...?",""
