Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
"UI/UI/GamePauseMenu/VirusOffenseMainMenuInGame/GameTitle",180584476672,"","PAUSE","","PAUZA",""
"VirusOffense/Pause/Main/Resume",464845041664,"","RESUME","","KONTYNUUJ",""
"VirusOffense/Pause/Main/Restart",613092716544,"","RESTART","","RESTART",""
"VirusOffense/Pause/Main/Options",675944361984,"","OPTIONS","","OPCJE",""
"VirusOffense/Pause/Main/Quit",1170473775104,"","QUIT","","WYJDŹ",""
"UI/UI/GamePauseMenu/VirusOffenseMainMenuInGame/SettingsPanel/StreamerOptions/StreamerModeInMinigamesCheckbox/Text (TMP)",4721426067456,"","Use Streamer mode in mini games:
","","Użyj tryb Streamera w mini grach:
",""
"MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/NextNodeTxtBg/Title",8222357090304,"","Rest Node","","ODPOCZYNEK",""
"MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/Text/Viewport/Content/Text (TMP)",10758531084288,"","> cat ""Node/High integrity area.txt""
{
<indent=5%>Thankfully this place wasn't corrupted by any virus activity;

You may decide to <b>regain your Integrity Points now</b> or convert it into <b>one Integrity Booster</b> to be used during combat;</indent>
}","","> cat ""Węzeł/Strefa wysokiej integralności.txt""
{
<indent=5%>Na szczęście to miejsce nie zostało całkowicie zepsute przez aktywność wirusów;

Możesz zdecydować by <b>odzyskać Punkty Integralności teraz</b> lub przekonwertować je na <b>jeden Wzmacniacz Integralności</b> do użycia w trakcie walki;</indent>
}",""
"MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/HealBg/Text (TMP)",11212577075200,"","> cat ""GameInfo/Status.txt""
 {0}: {1}/{2}, Unity-chan: {3}/{4}, Boosters: {5}
> start ""Node/Select Action.exe""","","> cat ""InformacjeGry/Status.txt""
 {0}: {1}/{2}, Unity-chan: {3}/{4}, Wzmacniacze: {5}
> start ""Węzeł/Wybierz Akcje.exe""",""
"MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/HealBg/HealNowBtn/Text (TMP)",14525884297216,"","HEAL_NOW();
<size=""24"">(+50 IP)</size>","","ULECZ_TERAZ();
<size=""24"">(+50 IP)</size>",""
"MainGameRest/Prefab Mode in Context/MainGameRest/RestCanvas/bg/ImageBg/HealBg/GetBooster/Text (TMP)",14564220235776,"","GET_BOOSTER();
<size=""24"">(+1 Integrity Booster)</size>","","WEZ_WZMACNIACZ();
<size=""24"">(+1 Wzmacniacz Integralności)</size>",""
"MainGameMap/Prefab Mode in Context/MainGameMap/MapCanvas/bg/NodeBg/NextNodeTxtBg/Title",16089843789824,"","SELECT NODE","","WYBIERZ WĘZEŁ",""
